year,isic_section_index,isic_section_name,industry_name,skill_group_category,skill_group_name,skill_group_rank
2015,B,Mining and quarrying,Mining & Metals,Specialized Industry Skills,Mining,1
2015,B,Mining and quarrying,Mining & Metals,Soft Skills,Negotiation,2
2015,B,Mining and quarrying,Mining & Metals,Business Skills,Project Management,3
2015,B,Mining and quarrying,Mining & Metals,Business Skills,Business Management,4
2015,B,Mining and quarrying,Mining & Metals,Specialized Industry Skills,Earth Science,5
2015,B,Mining and quarrying,Mining & Metals,Business Skills,Manufacturing Operations,6
2015,B,Mining and quarrying,Mining & Metals,Specialized Industry Skills,Drilling Engineering,7
2015,B,Mining and quarrying,Mining & Metals,Tech Skills,Digital Literacy,8
2015,B,Mining and quarrying,Mining & Metals,Specialized Industry Skills,Maintenance & Repair,9
2015,B,Mining and quarrying,Mining & Metals,Business Skills,Procurement,10
2015,B,Mining and quarrying,Oil & Energy,Specialized Industry Skills,Oil & Gas,1
2015,B,Mining and quarrying,Oil & Energy,Specialized Industry Skills,Drilling Engineering,2
2015,B,Mining and quarrying,Oil & Energy,Specialized Industry Skills,Utilities,3
2015,B,Mining and quarrying,Oil & Energy,Soft Skills,Negotiation,4
2015,B,Mining and quarrying,Oil & Energy,Business Skills,Project Management,5
2015,B,Mining and quarrying,Oil & Energy,Tech Skills,Digital Literacy,6
2015,B,Mining and quarrying,Oil & Energy,Business Skills,Business Management,7
2015,B,Mining and quarrying,Oil & Energy,Soft Skills,Teamwork,8
2015,B,Mining and quarrying,Oil & Energy,Specialized Industry Skills,Construction Engineering,9
2015,B,Mining and quarrying,Oil & Energy,Soft Skills,Leadership,10
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Pharmaceutics,1
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Pharmaceutical Manufacturing,2
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Oncology,3
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Cardiology,4
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Biomedical Engineering,5
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Neurology,6
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Product Testing,7
2015,C,Manufacturing,Pharmaceuticals,Business Skills,Product Development,8
2015,C,Manufacturing,Pharmaceuticals,Specialized Industry Skills,Family Medicine,9
2015,C,Manufacturing,Pharmaceuticals,Business Skills,Product Marketing,10
2015,C,Manufacturing,Food Production,Specialized Industry Skills,Food Manufacturing,1
2015,C,Manufacturing,Food Production,Soft Skills,Negotiation,2
2015,C,Manufacturing,Food Production,Business Skills,Product Development,3
2015,C,Manufacturing,Food Production,Specialized Industry Skills,Food Service Operations,4
2015,C,Manufacturing,Food Production,Business Skills,Product Marketing,5
2015,C,Manufacturing,Food Production,Specialized Industry Skills,Retail,6
2015,C,Manufacturing,Food Production,Business Skills,Business Management,7
2015,C,Manufacturing,Food Production,Soft Skills,Leadership,8
2015,C,Manufacturing,Food Production,Tech Skills,Digital Literacy,9
2015,C,Manufacturing,Food Production,Soft Skills,Teamwork,10
2015,C,Manufacturing,Aviation & Aerospace,Specialized Industry Skills,Air Force,1
2015,C,Manufacturing,Aviation & Aerospace,Specialized Industry Skills,Airlines,2
2015,C,Manufacturing,Aviation & Aerospace,Disruptive Tech Skills,Aerospace Engineering,3
2015,C,Manufacturing,Aviation & Aerospace,Specialized Industry Skills,Aircraft Management,4
2015,C,Manufacturing,Aviation & Aerospace,Business Skills,Project Management,5
2015,C,Manufacturing,Aviation & Aerospace,Business Skills,Manufacturing Operations,6
2015,C,Manufacturing,Aviation & Aerospace,Business Skills,Business Management,7
2015,C,Manufacturing,Aviation & Aerospace,Tech Skills,Digital Literacy,8
2015,C,Manufacturing,Aviation & Aerospace,Specialized Industry Skills,Composites,9
2015,C,Manufacturing,Aviation & Aerospace,Tech Skills,Scientific Computing,10
2015,C,Manufacturing,Automotive,Specialized Industry Skills,Automotive,1
2015,C,Manufacturing,Automotive,Soft Skills,Negotiation,2
2015,C,Manufacturing,Automotive,Soft Skills,Leadership,3
