year,skill_group_category,skill_group_name,isic_section_index,isic_section_name,industry_name,skill_group_penetration_rate
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Accounting,0.00719
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Law Practice,0.00244
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Executive Office,0.00222
2015,Business Skills,Accounts Payable,C,Manufacturing,Packaging & Containers,0.00132
2015,Business Skills,Accounts Payable,B,Mining and quarrying,Oil & Energy,0.00132
2015,Business Skills,Accounts Payable,C,Manufacturing,Printing,0.00128
2015,Business Skills,Accounts Payable,C,Manufacturing,Machinery,0.00112
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Venture Capital & Private Equity,0.00102
2015,Business Skills,Accounts Payable,C,Manufacturing,Plastics,9.40E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Legal Services,9.20E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Textiles,8.30E-04
2015,Business Skills,Accounts Payable,B,Mining and quarrying,Mining & Metals,8.10E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,7.70E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Electrical & Electronic Manufacturing,7.50E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Food Production,7.50E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Environmental Services,7.30E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Automotive,7.10E-04
2015,Business Skills,Accounts Payable,J,Information and communication,Information Technology & Services,6.60E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Architecture & Planning,6.10E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Industrial Automation,6.00E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Chemicals,5.70E-04
2015,Business Skills,Accounts Payable,J,Information and communication,Telecommunications,5.50E-04
